date,country,subdivision,name,type
2026-01-01,uk,EAW,New Year’s Day,public
2026-04-03,uk,EAW,Good Friday,public
2026-04-06,uk,EAW,Easter Monday,public
2026-05-04,uk,EAW,Early May bank holiday,public
2026-05-25,uk,EAW,Spring bank holiday,public
2026-08-31,uk,EAW,Summer bank holiday,public
2026-12-25,uk,EAW,Christmas Day,public
2026-12-28,uk,EAW,Boxing Day (substitute day),public
2026-01-01,uk,SCT,New Year’s Day,public
2026-01-02,uk,SCT,2nd January,public
2026-04-03,uk,SCT,Good Friday,public
2026-05-04,uk,SCT,Early May bank holiday,public
2026-05-25,uk,SCT,Spring bank holiday,public
2026-08-03,uk,SCT,Summer bank holiday,public
2026-11-30,uk,SCT,St Andrew’s Day,public
2026-12-25,uk,SCT,Christmas Day,public
2026-12-28,uk,SCT,Boxing Day (substitute day),public
2026-01-01,uk,NIR,New Year’s Day,public
2026-03-17,uk,NIR,St Patrick’s Day,public
2026-04-03,uk,NIR,Good Friday,public
2026-04-06,uk,NIR,Easter Monday,public
2026-05-04,uk,NIR,Early May bank holiday,public
2026-05-25,uk,NIR,Spring bank holiday,public
2026-07-13,uk,NIR,Battle of the Boyne (substitute day),public
2026-08-31,uk,NIR,Summer bank holiday,public
2026-12-25,uk,NIR,Christmas Day,public
2026-12-28,uk,NIR,Boxing Day (substitute day),public
